_rg_o_entidade,v_nculo,cargo,escolaridade,vagas,publica_o_di_rio_oficial_da_uni_o_dou,link_publicacao_dou,tipo_de_autoriza_o,data_provimento,area_atuacao_governamental,norma_jur_dica,data_publicacao_dou,ano_da_publica_o,portaria_concurso,data_publicacao_portaria_concurso,unnamed_12,observacao,ato_oficial,link_da_publica_o_no_d_o_u_,_rea_de_atua_o_governamental
Departamento Penitenciário Nacional (DEPEN),Ministério da Justiça - MJ,Especialista em Assistência Penitenciária; Técnico de Apoio à Assistência Penitenciária  e Agente Penitenciário Federal.,NS/NI,,"Portaria nº 08, de 24 de Janeiro de 2017",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=24/01/2017&jornal=1&pagina=68&totalArquivos=76,Provimento Original e Adicional de 50%,,,,,,,,,,,,
Instituto Nacional da Propriedade Industrial (INPI),Ministério da Indústria Comércio Exterior e Serviços - MDIC,Pesquisador em Propriedade Industrial e  Tecnologista em Propriedade Industrial,Nível Superior,,"Portaria nº 59, de 29 de Março de 2017",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=29/03/2017&jornal=1&pagina=46&totalArquivos=104,Provimento Adicional,,,,,,,,,,,,
"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)","Ministério da Agricultura, Pecuária e Abastecimento - MAPA",Auxiliar de Laboratório,Nível Intermediário,,"Portaria nº 88, de 11 de Abril de 2017",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=11/04/2017&jornal=2&pagina=45&totalArquivos=72,Decisão Judicial,,,,,,,,,,,,
Ministério das Relações Exteriores (MRE),Ministério das Relações Exteriores - MRE,Oficial de Chancelaria,Nível Superior,,"Portaria nº 90, de 17 de Abril de 2017",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=17/04/2017&jornal=1&pagina=130&totalArquivos=220,Provimento Original,,,,,,,,,,,,
Instituto Nacional do Seguro Social (INSS),Ministério do Desenvolvimento Social  - MDS,Técnico do Seguro Social,Nível Intermediário,,"Portaria nº 91, de 17 de Abril de 2017",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=17/04/2017&jornal=1&pagina=130&totalArquivos=220,Provimento Original,"a partir de abril de 2017, não podendo ocorrer após 31 de dezembro de 2017",,,,,,,,,,,
Agência Nacional de Saúde Suplementar (ANS),Ministério da Saúde - MS,Técnico em Regulação de Saúde Suplementar e Técnico Administrativo,Nível Intermediário,,"Portaria nº 100, de 20 de Abril de 2017",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=20/04/2017&jornal=1&pagina=111&totalArquivos=276,Provimento Original,"a partir de abril de 2017, não podendo ocorrer após 31 de dezembro de 2017",,,,,,,,,,,
Instituto Brasileiro de Geografia e Estatística (IBGE),"Ministério do Planejamento, Desenvolvimento e Gestão - MP","Analista de Planejamento, Gestão e Infraestrutura em
Informações Geográficas e Estatísticas; Tecnologista em Informações Geográficas e Estatísticas e Técnico em Informações Geográficas e Estatísticas",NS/NI,,"Portaria nº 110, de 28 de Abril de 2017",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=28/04/2017&jornal=1&pagina=140&totalArquivos=208,Provimento Adicional,"a partir de abril de 2017, não podendo ocorrer após 31 de dezembro de 2017",,,,,,,,,,,
Agência Nacional de Aviação Civil (ANAC),"Ministério dos Transportes, Portos e Aviação Civil - MTPA","Analista Administrativo e Especialista em Regulação de Aviação Civil (áreas 1, 3, 4 e 5)",Nível Superior,,"Portaria nº 111, de 28 de Abril de 2017",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=28/04/2017&jornal=1&pagina=140&totalArquivos=208,Provimento Original,"a partir de abril de 2017, não podendo ocorrer após 31 de dezembro de 2017",,,,,,,,,,,
"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)","Ministério da Agricultura, Pecuária e Abastecimento - MAPA",Agente de Inspeção Sanitária e industrial de produtos de origem animal,Nível Intermediário,,"Portaria nº 160, de 31 de Maio de 2017",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=01/06/2017&jornal=2&pagina=97&totalArquivos=144,Decisão Judicial,,,,,,,,,,,,
"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)","Ministério da Agricultura, Pecuária e Abastecimento - MAPA",Auditor Fiscal Agropecuário,Nível Superior,,Portaria MAPA,Portaria MAPA,Decisão Judicial,,,,,,,,,,,,
Ministério da Saúde (MS),Ministério da Saúde - MS,Tecnologista Pleno K-I,Nível Superior,,"Portaria nº 195, de 26 de junho de 2017",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=27/06/2017&jornal=2&pagina=48&totalArquivos=72,Decisão Judicial,,,,,,,,,,,,
Instituto Nacional do Seguro Social (INSS),Ministério do Desenvolvimento Social  - MDS,Técnico do Seguro Social,Nível Intermediário,,"Portaria nº 202, de 29 de junho de 2017",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=30/06/2017&jornal=1&pagina=96&totalArquivos=272,Provimento Original,"a partir de junho, não podendo ocorrer após 31 de dezembro de 2017",,,,,,,,,,,
"Ministério do Planejamento, Desenvolvimento e Gestão (MP)","Ministério do Planejamento, Desenvolvimento e Gestão - MP",Analista de Planejamento e Orçamento,Nível Superior,,"Portaria nº 204, de 29 de junho de 2017",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=30/06/2017&jornal=1&pagina=96&totalArquivos=272,Provimento Original,"a partir de julho, não podendo ocorrer após 31 de dezembro de 2017",,,,,,,,,,,
Ministério da Defesa (MD),Ministério da Defesa - MD,Professor da Carreira de Magistério Superior do Plano de Carreiras e Cargos de Magistério Federal,Nível Superior,,"Portaria nº 203, de 29 de junho de 2017",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=30/06/2017&jornal=1&pagina=96&totalArquivos=272,Concurso,,,,,,,,,,,,
Agência Brasileira de Inteligência,PR,"Oficial, Oficial Técnico e Agente de  Inteligência",NS/NI,,"Portaria nº 227, de 17 de julho de 2017",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=17/07/2017&jornal=1&pagina=65&totalArquivos=104,Concurso,,,,,,,,,,,,
"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)",MAPA,Auditor Fiscal Federal Agropecuário - Médico Veterinário,Nível Superior,,"Portaria nº 232/MP, de 19 de julho de 2017",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=19/07/2017&jornal=1&pagina=59&totalArquivos=72,Concurso,,,,,,,,,,,,
"Ministério da Agricultura, Pecuária e Abastecimento (MAPA)",MAPA,Médicos veterinários,Nível Superior,,"Portaria nº 231/MP, de 18 de julho de 2017",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?jornal=1&pagina=58&data=19/07/2017,Processo seletivo simplificado,,,,,,,,,,,,
